"Address3","County (name)","CloseDate","EstablishmentName","EstablishmentNumber","OpenDate","EstablishmentStatus (name)","Gender (name)","HeadFirstName","HeadHonours","HeadLastName","HeadPreferredJobTitle","HeadTitle (name)","LastChangedDate","LA (name)","LA (code)","Locality","Postcode","PreviousEstablishmentNumber","PreviousLA (name)","PreviousLA (code)","ReasonEstablishmentClosed (name)","ReasonEstablishmentOpened (name)","StatutoryHighAge","StatutoryLowAge","Street","TelephoneNum","TelephoneSTD","Town","TypeOfEstablishment (name)","UKPRN","URN","WebsiteAddress","OfficialSixthForm (name)","FEHEIdentifier","FurtherEducationType (name)","PhaseOfEducation (name)","AdmissionsPolicy (name)","Boarders (name)","BoardingEstablishment (name)","Diocese (name)","OfstedLastInsp","PercentageFSM","RegisteredEY (name)","ReligiousCharacter (name)","SchoolCapacity","MainSpecialism2 (name)","SecondarySpecialism2 (name)","Trusts (name)","TrustSchoolFlag (name)","Federations (name)","FederationFlag (name)","SchoolSponsors (name)","SchoolSponsorFlag (name)","StudioSchoolIndicator (name)","GSSLACode (name)","ASCHighestAge","ASCLowestAge","Boys2","Boys3","Boys4a","Boys4b","Boys4c","Boys5","Boys6","Boys7","Boys8","Boys9","Boys10","Boys11","Boys12","Boys13","Boys14","Boys15","Boys16","Boys17","Boys18","Boys19plus","CensusDate","Girls2andUnder","Girls3","Girls4a","Girls4b","Girls4c","Girls5","Girls6","Girls7","Girls8","Girls9","Girls10","Girls11","Girls12","Girls13","Girls14","Girls15","Girls16","Girls17","Girls18","Girls19plus","NumberOfBoys","NumberOfGirls","NumberOfPupils","AdministrativeWard (name)","GOR (name)","LLSC (name)","LSOA (name)","MSOA (name)","ParliamentaryConstituency (name)","UrbanRural (name)","Easting","Northing","MainSpecialism1 (name)","SecondarySpecialism1 (name)","FreshStart (name)","HP_Leading_Option_1 (name)","HP_Leading_Option_2 (name)","HP_Leading_Option_3 (name)","InvestorInPeople (name)","OfstedSpecialMeasures (name)","PFI (name)","SpecialClasses (name)","TeenMothPlaces","TeenMoth (name)","ApprovedNumberBoardersSpecial","SpecialPupils","CCF (name)","FTProv (name)","EdByOther (name)","EBD (name)","SENPRU (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","Section41Approved (name)"
"","","","West London Free School",4000,"07-09-2011","Open","Mixed","Hywel","","Jones","Headteacher","Mr","24-06-2014","Hammersmith and Fulham","205","","W6 0LB","","","999","","New Provision",18,11,"Cambridge Grove","86000670","020","London","Free Schools",10035246,136750,"www.wlfs.org","Has a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","03-07-2013","20.8","","None",840,"","","West London Free School Academy Trust, The","Linked to a multi-academy trust","","Not applicable","West London Free School Academy Trust","Linked to a sponsor","Not applicable","E09000013",13,11,"0","0","0","0","0","0","0","0","0","0","0","67","65","68","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","56","52","52","0","0","0","0","0","0","200","160","360","Hammersmith Broadway","London","","Hammersmith and Fulham 013D","Hammersmith and Fulham 013","Hammersmith","Urban > 10k - less sparse",522894,178875,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Suffolk","","Stour Valley Community School",4001,"06-09-2011","Open","Mixed","Christine","","Inchley","Principal","Mrs","24-06-2014","Suffolk","935","Clare","CO10 8PJ","","","999","","New Provision",16,11,"Cavendish Road","279342","01787","Sudbury","Free Schools",10035262,136757,"www.svcschool.org","Does not have a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","10-07-2013","10.2","","None",540,"","","Stour Valley Educational Trust Limited","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000029",15,11,"0","0","0","0","0","0","0","0","0","0","0","54","61","62","46","20","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","54","55","48","44","17","0","0","0","0","245","220","461","Clare","East of England","","St Edmundsbury 010B","St Edmundsbury 010","South Suffolk","Village - less sparse",577578,245586,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","St Luke's Church of England Primary",2000,"16-09-2011","Open","Mixed","Gill","","Tyler","","Mrs","24-06-2014","Camden","202","","NW3 7SU","","","999","","New Provision",11,4,"12 Kidderpore Avenue","74355604","020","London","Free Schools",10035320,136807,"www.stlukesschool.org.uk","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","03-07-2013","15.9","","Church of England",105,"","","St Luke's Church of England School","Linked to a trust/single academy trust","","Not applicable","Diocese of London","Linked to a sponsor","Not applicable","E09000007",6,4,"0","0","7","3","0","10","9","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","x","0","x","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","30","15","44","Frognal and Fitzjohns","London","","Camden 004A","Camden 004","Hampstead and Kilburn","Urban > 10k - less sparse",525270,185912,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Eden Primary",2011,"12-09-2011","Open","Mixed","Jo","","Sassienie","","Ms","24-06-2014","Haringey","309","Muswell Hill","N10 1NR","","","999","","New Provision",11,4,"79 Creighton Avenue","88839527","020","London","Free Schools",10035327,136808,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","02-07-2013","3.3","","Jewish",210,"","","Eden Primary Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000014",6,4,"0","0","8","3","10","18","17","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","4","x","3","12","13","0","0","0","0","0","0","0","0","0","0","0","0","0","55","35","90","Fortis Green","London","","Haringey 014C","Haringey 014","Hornsey and Wood Green","Urban > 10k - less sparse",528088,190096,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","The Free School Norwich",2020,"05-09-2011","Open","Mixed","Tania","","Sidney-Roberts","Headteacher","Headteacher","16-02-2015","Norfolk","926","Surrey Street","NR1 3NX","","","999","","New Provision",11,4,"Kings House","507704","01603","Norwich","Free Schools",10034735,136821,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","10-07-2013","14.4","","",168,"","","Free School Norwich, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000020",11,4,"0","0","x","3","4","7","13","5","14","12","10","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","4","x","9","17","11","19","9","13","5","x","0","0","0","0","0","0","0","0","70","90","160","Mancroft","East of England","","Norwich 007A","Norwich 007","Norwich South","Urban > 10k - less sparse",623065,308018,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Bristol","","Bristol Free School",4001,"05-09-2011","Open","Mixed","Richard","","Clutterbuck","Headteacher","Headteacher","24-06-2014","Bristol City of","801","Westbury-on-Trym","BS10 6NJ","","","999","","New Provision",16,11,"Burghill Road","9597200","0117","Bristol","Free Schools",10035250,136822,"","Does not have a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","19-02-2013","13.5","","None",750,"","","Russell Education Trust","Linked to a multi-academy trust","","Not applicable","Russell Education Trust","Linked to a sponsor","Not applicable","E06000023",14,11,"0","0","0","0","0","0","0","0","0","0","0","70","86","49","x","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","80","47","56","3","0","0","0","0","0","205","185","393","Southmead","South West","","Bristol 002D","Bristol 002","Bristol North West","Urban > 10k - less sparse",357539,178217,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Leicestershire","","Krishna Avanti Primary School",2001,"01-09-2011","Open","Mixed","Mary","","Lawson","Principal","Mrs","19-02-2015","Leicester","856","Evington","LE5 6HN","","","999","","New Provision",11,4,"Spencefield Lane","2419880","0116","Leicester","Free Schools",10035222,136930,"","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","Not applicable","14-05-2013","8.5","","Hindu",420,"","","Avanti Schools Trust","Linked to a multi-academy trust","","Not applicable","Avanti Schools Trust","Linked to a sponsor","Not applicable","E06000016",6,4,"0","0","16","7","14","27","34","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","5","7","12","28","26","0","0","0","0","0","0","0","0","0","0","0","0","0","100","80","176","Evington","East Midlands","","Leicester 025E","Leicester 025","Leicester East","Urban > 10k - less sparse",463104,303806,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","West Midlands","","Black Country UTC",4000,"01-09-2011","Open","Mixed","Lesley","","Broadway","Interim Principal","Miss","24-06-2014","Walsall","335","","WS3 2PA","","","999","Not applicable","New Provision",19,14,"Vernon Way","470763","01922","Walsall","University Technical College",10034943,136933,"www.blackcountryutc.co.uk","Has a sixth form","","","Secondary","Comprehensive","No Boarders","","Not applicable","29-01-2013","13.5","Not applicable","Does not apply",480,"","","Black Country UTC","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000030",19,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","24","44","29","5","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","8","5","x","x","120","25","146","Bloxwich West","West Midlands","","Walsall 009A","Walsall 009","Walsall North","Urban > 10k - less sparse",398037,302490,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","No Special Classes","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Essex","","Aldborough Primary School",2000,"01-09-2011","Open","Mixed","Nicola","B.Ed Hons","Percy","","","24-06-2014","Redbridge","317","Seven Kings","IG3 8HZ","","","999","","New Provision",11,4,"231 Aldborough Road South","81668348","020","Ilford","Free Schools",10035252,136934,"","Does not have a sixth form","","","Primary","Not applicable","","","Not applicable","06-02-2013","21.9","","Does not apply",420,"","","Loxford School Trust Limited","Linked to a multi-academy trust","","Not applicable","Loxford School Trust Ltd","Linked to a sponsor","Not applicable","E09000026",7,4,"0","0","13","4","7","28","29","21","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","13","8","11","27","32","35","0","0","0","0","0","0","0","0","0","0","0","0","100","125","228","Newbury","London","","Redbridge 020C","Redbridge 020","Ilford South","Urban > 10k - less sparse",545304,187848,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Etz Chaim Jewish Primary School",2001,"05-09-2011","Open","Mixed","Yvonne","","Baron","","Headteacher","16-02-2015","Barnet","302","","NW7 4SL","","","999","","New Provision",11,3,"20 Daws Lane","89062983","020","London","Free Schools",10035227,136938,"http://www.etzchaim-primaryschool.org.uk/","Does not have a sixth form","","","Primary","Comprehensive","No Boarders","","Not applicable","30-01-2013","x","","Jewish",196,"","","Etz Chaim Jewish Primary School Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000003",6,3,"0","13","4","3","10","20","13","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","13","3","4","4","8","15","0","0","0","0","0","0","0","0","0","0","0","0","0","65","45","110","Mill Hill","London","","Barnet 016B","Barnet 016","Hendon","Urban > 10k - less sparse",522029,192076,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
